Census year,Block ID,CLUE small area,Accommodation,Admin and Support Services,Agriculture and Mining,Arts and Recreation Services,Business Services,Construction,Education and Training,"Electricity, Gas, Water and Waste Services",Finance and Insurance,Food and Beverage Services,Health Care and Social Assistance,Information Media and Telecommunications,Manufacturing,Other Services,Public Administration and Safety,Real Estate Services,Rental and Hiring Services,Retail Trade,"Transport, Postal and Storage",Wholesale Trade,Total employment in block
2016,63,Melbourne (CBD),0,0,0,0,218,0,39,0,0,57,0,0,0,23,191,17,0,25,0,0,680
2016,64,Melbourne (CBD),0,127,0,33,944,0,209,0,23,339,31,0,0,40,0,0,0,210,0,0,"2,014"
2016,65,Melbourne (CBD),0,7,0,0,12,0,28,0,0,767,27,0,0,99,0,42,0,"1,739",0,0,"2,839"
2016,66,Melbourne (CBD),0,73,0,0,20,0,47,0,0,607,0,0,0,79,0,0,0,133,0,0,"1,066"
2016,67,Melbourne (CBD),90,20,0,166,53,0,101,0,0,462,34,0,0,30,0,0,0,27,0,0,"1,002"
2016,68,Melbourne (CBD),68,0,0,0,53,0,0,0,316,227,0,0,0,45,961,0,0,0,0,0,"2,077"
2016,71,Melbourne (CBD),0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132
2016,72,Melbourne (CBD),0,77,0,0,629,0,0,0,0,209,0,0,0,21,0,15,0,18,0,0,"1,412"
2016,73,Melbourne (CBD),0,0,0,0,419,0,0,0,0,15,0,0,0,0,841,0,0,0,0,0,"1,308"
2016,74,Melbourne (CBD),0,383,0,0,517,0,105,0,71,366,0,0,17,103,0,57,0,90,0,0,"1,790"
2016,76,Melbourne (CBD),0,0,0,74,0,0,0,0,29,471,190,"2,761",0,77,0,0,0,704,0,0,"6,860"
2016,77,Melbourne (CBD),0,0,0,0,103,0,0,0,275,121,0,"1,139",0,33,0,0,0,11,0,0,"2,118"
2016,78,Melbourne (CBD),0,0,0,0,0,0,0,0,"2,778",148,0,0,0,9,"4,008",12,0,28,0,0,"12,168"
2016,81,Melbourne (CBD),0,0,0,0,0,0,291,0,0,97,0,0,0,0,0,0,0,22,0,0,451
2016,82,Melbourne (CBD),0,0,0,0,"2,100",0,49,0,209,59,0,418,0,20,"1,184",0,0,0,120,0,"4,331"
2016,83,Melbourne (CBD),0,0,0,0,0,0,0,0,0,37,0,0,0,9,0,0,0,0,0,0,702
2016,84,Melbourne (CBD),0,0,0,0,189,34,117,0,0,182,0,0,0,117,0,0,0,68,0,0,766
2016,85,Melbourne (CBD),0,147,0,0,251,0,0,0,"2,261","1,521",125,666,0,196,"1,232",0,0,"1,588",0,0,"8,226"
2016,86,Melbourne (CBD),0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,478
2016,87,Melbourne (CBD),0,0,0,0,419,0,136,0,0,159,0,0,0,22,0,23,0,0,0,0,"4,532"
2016,88,Melbourne (CBD),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56
2016,91,West Melbourne (Residential),0,155,0,0,91,0,23,0,25,25,30,0,0,22,0,19,0,0,0,17,468
2016,92,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,93,Melbourne (CBD),0,0,0,0,485,0,68,0,545,49,0,0,0,173,774,0,0,0,0,0,"2,442"
2016,94,Melbourne (CBD),0,0,0,0,574,0,0,0,0,59,0,0,0,57,0,23,0,84,0,0,"3,421"
2016,95,Melbourne (CBD),0,74,0,0,54,0,449,0,11,280,55,0,0,38,0,0,0,76,0,0,"1,129"
2016,96,Melbourne (CBD),0,0,0,88,0,0,"2,673",0,0,11,34,0,0,0,0,0,0,0,0,0,"2,953"
2016,97,Melbourne (CBD),43,0,0,16,55,0,0,0,0,40,0,350,0,25,0,0,0,0,0,0,687
2016,98,Melbourne (CBD),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,101,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,133
2016,103,Melbourne (CBD),246,0,0,0,37,0,0,0,0,16,0,0,0,353,0,0,0,0,0,0,721
2016,104,Melbourne (CBD),38,0,0,0,31,0,48,0,0,91,0,0,0,23,0,0,0,19,0,0,281
2016,105,Melbourne (CBD),0,0,0,0,177,0,"1,041",0,0,68,0,0,0,0,0,0,0,17,0,0,"1,424"
2016,107,Melbourne (CBD),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
2016,111,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290
2016,113,Melbourne (CBD),0,0,0,0,0,0,0,0,0,146,0,0,15,6,0,0,0,784,7,0,"1,077"
2016,114,Melbourne (CBD),0,0,0,0,67,0,0,0,0,202,0,0,0,0,0,0,0,90,0,0,483
2016,115,Melbourne (CBD),71,0,0,0,0,0,203,0,0,37,0,0,0,0,0,27,33,75,0,0,"1,926"
2016,116,Melbourne (CBD),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,125,Melbourne (CBD),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67
2016,131,Docklands,0,0,0,0,171,0,0,0,0,92,0,0,0,9,"3,926",0,0,0,0,0,"5,158"
2016,201,Carlton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,202,Carlton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,203,Carlton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
2016,204,Carlton,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,116
2016,205,Carlton,0,0,0,0,0,0,91,0,0,24,820,0,0,0,0,0,0,0,0,0,962
2016,206,Carlton,6,0,0,0,18,0,0,0,32,118,0,0,0,21,0,0,0,76,0,0,280
2016,207,Carlton,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,71,0,0,174
2016,208,Carlton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
2016,209,Carlton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,210,Carlton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,211,Carlton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,212,Carlton,0,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,0,0,0,276
2016,213,Carlton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101
2016,214,Carlton,0,0,0,0,38,0,0,0,0,0,0,0,5,0,0,0,0,16,0,0,99
2016,215,Carlton,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,12,0,0,89
2016,216,Carlton,0,0,0,0,0,0,0,0,0,36,0,0,0,52,0,0,0,28,0,0,145
2016,217,Carlton,0,0,0,0,0,0,0,0,0,256,43,0,0,33,0,0,0,216,0,0,732
2016,218,Carlton,0,25,0,18,109,18,0,0,0,197,29,0,0,45,0,0,0,68,0,0,584
2016,219,Carlton,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
2016,220,Carlton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
2016,221,Carlton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,222,Carlton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
2016,223,Carlton,0,0,0,0,0,0,0,0,0,0,18,0,0,7,0,0,0,0,0,0,62
2016,224,Carlton,0,0,0,0,31,0,0,0,0,0,0,0,87,0,0,0,0,6,0,0,164
2016,225,Carlton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
2016,226,Carlton,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,38
2016,227,Carlton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
2016,228,Carlton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141
2016,229,Carlton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,230,Carlton,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,33
2016,231,Carlton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,232,Carlton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
2016,233,Carlton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,234,Carlton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
2016,235,Carlton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,236,Carlton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
2016,237,Carlton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,238,Carlton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,239,Carlton,0,0,0,0,237,0,0,0,0,12,74,0,0,0,0,0,0,0,0,0,627
2016,240,Carlton,0,0,0,0,0,0,633,0,0,28,0,0,0,0,0,0,0,0,0,0,683
2016,241,Carlton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,242,Carlton,0,0,0,0,56,0,530,0,0,0,0,0,0,0,0,0,0,0,0,0,648
2016,243,Carlton,66,0,0,0,30,0,264,0,0,77,21,0,0,0,0,0,0,0,0,0,501
2016,244,Carlton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,245,Carlton,0,10,0,0,67,0,0,0,21,102,0,0,0,0,0,0,0,0,0,0,300
2016,246,Carlton,0,0,0,0,12,0,0,0,0,165,0,0,0,0,0,0,0,17,0,0,223
2016,247,Carlton,0,0,0,0,271,46,0,0,0,109,55,0,0,44,0,0,0,0,0,0,978
2016,248,Carlton,11,0,0,0,13,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,138
2016,249,Carlton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2016,250,Carlton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674
2016,251,Carlton,0,0,0,0,109,0,0,0,227,0,286,0,0,72,0,0,0,0,0,0,818
2016,252,Carlton,0,0,0,0,41,0,0,0,0,168,11,0,0,18,0,0,0,16,0,0,284
2016,253,Carlton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,254,Carlton,0,0,0,0,33,0,0,0,0,76,40,0,0,107,0,0,0,0,0,0,346
2016,255,Carlton,0,0,0,0,19,0,0,0,0,31,0,0,0,105,0,0,0,11,0,0,523
2016,256,Carlton,14,0,0,0,0,0,154,0,0,20,0,0,0,0,0,0,0,0,0,0,296
2016,257,Carlton,0,0,0,0,0,0,0,0,0,45,472,0,0,0,0,0,0,0,0,0,820
2016,258,Carlton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253
2016,259,Carlton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368
2016,260,Carlton,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,32,0,0,147
2016,261,Carlton,0,0,0,0,41,0,0,0,0,0,0,0,0,178,0,0,0,48,0,0,304
2016,262,Carlton,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
2016,263,Carlton,0,0,0,0,100,0,0,0,0,0,0,0,0,348,0,0,0,23,0,0,937
2016,264,Carlton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2016,265,Carlton,38,0,0,0,8,0,196,0,0,79,0,0,0,134,0,0,0,0,0,0,705
2016,266,Carlton,0,0,0,0,0,0,395,0,0,37,0,0,0,0,0,0,0,0,0,0,479
2016,267,Carlton,0,0,0,0,38,0,0,0,0,32,16,0,0,125,0,0,0,0,0,0,277
2016,268,Carlton,0,0,0,0,42,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,136
2016,269,Carlton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,270,Parkville,0,59,0,42,0,0,"2,703",0,0,246,0,0,0,0,0,0,0,55,0,0,"3,115"
2016,271,Parkville,679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,706
2016,272,Parkville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,273,Carlton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2016,274,Carlton,0,50,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237
2016,301,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
2016,302,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,917,Parkville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,303,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
2016,304,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,305,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,306,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,307,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,308,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,309,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,246
2016,310,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,142
2016,311,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,312,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
2016,313,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134
2016,314,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128
2016,315,North Melbourne,0,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196
2016,316,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,317,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
2016,318,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,319,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,320,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,321,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,322,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,63
2016,323,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175
2016,324,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,325,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,326,North Melbourne,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,18
2016,327,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
2016,328,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,329,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107
2016,330,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,331,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,86
2016,332,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,57
2016,333,North Melbourne,0,0,0,0,0,0,0,0,25,0,0,0,0,10,0,0,0,8,0,0,206
2016,334,North Melbourne,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61
2016,335,North Melbourne,0,0,0,0,52,0,0,0,21,26,15,0,0,0,0,0,0,17,0,21,201
2016,336,North Melbourne,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
2016,337,North Melbourne,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,41,0,31,134
2016,338,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,86
2016,339,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
2016,340,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,19
2016,341,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,169
2016,342,North Melbourne,0,0,0,0,31,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
2016,343,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,127
2016,344,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,345,North Melbourne,0,0,0,27,0,0,0,0,23,120,20,0,0,38,0,0,0,50,0,0,380
2016,346,North Melbourne,0,0,0,0,8,0,0,0,0,34,0,0,0,19,0,0,0,19,0,0,110
2016,347,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
2016,348,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,349,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,350,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,351,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,352,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,353,North Melbourne,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,187
2016,354,North Melbourne,0,20,0,0,46,0,0,0,0,102,23,0,0,41,0,0,0,70,0,18,423
2016,355,North Melbourne,0,0,0,0,86,0,0,0,22,0,15,0,0,0,0,0,0,0,0,0,177
2016,356,North Melbourne,0,0,0,0,32,0,8,0,0,26,0,0,0,13,0,0,0,27,0,28,163
2016,357,North Melbourne,0,0,0,0,63,0,84,0,0,20,67,0,0,151,0,0,0,0,0,0,456
2016,358,North Melbourne,0,0,0,0,0,0,0,0,0,23,0,0,0,16,0,0,0,7,20,0,300
2016,359,North Melbourne,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
2016,360,North Melbourne,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,16,0,0,95
2016,361,North Melbourne,4,0,0,0,0,0,0,0,0,28,0,0,0,14,0,0,0,0,0,0,110
2016,362,North Melbourne,0,0,0,0,0,0,0,0,0,28,13,0,0,0,0,0,0,60,0,0,133
2016,363,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,103
2016,364,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81
2016,365,North Melbourne,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67
2016,366,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,367,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
2016,368,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,42
2016,369,North Melbourne,0,0,0,0,23,0,0,0,0,27,0,0,0,6,0,0,0,0,0,0,80
2016,370,North Melbourne,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2016,371,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,372,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,373,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,374,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,375,North Melbourne,0,0,0,0,36,0,0,0,0,22,35,0,0,0,0,0,0,0,0,0,254
2016,376,North Melbourne,0,0,0,44,8,0,0,0,0,0,13,0,0,11,0,0,0,0,0,0,185
2016,377,North Melbourne,0,61,0,0,418,0,0,0,0,35,144,0,0,41,0,0,0,0,0,0,779
2016,378,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275
